constno,candidatename,party,criminalcases,education,age,totalassets,liabilities
1,Rajendran. S,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",8th Pass,56,"Rs 51,02,984","Rs 2,51,000"
1,Baskar. C,Indiya Jananayaka Katchi,0,Graduate Professional,46,"Rs 7,46,15,911","Rs 2,92,02,303"
1,Jayavel. Rama,DMDK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",5th Pass,46,"Rs 1,42,40,225","Rs 2,62,994"
1,Krishna. K,IND,0,10th Pass,51,"Rs 26,072",Rs 0
1,Manikkam. T,Naam Tamilar Katchi,0,8th Pass,33,"Rs 3,82,872","Rs 1,30,000"
1,Matheshwaran. T,Vidiyalai Thedum Indhiyargal Party,0,Graduate,26,"Rs 11,000","Rs 4,00,000"
1,Padmanaban. R,IND,0,8th Pass,47,"Rs 48,235",Rs 0
1,Pazhanivel. P,IND,0,12th Pass,45,"Rs 14,16,758","Rs 2,13,000"
1,Sathyaseelan. A,LJP,0,Graduate,41,"Rs 24,95,552","Rs 7,36,416"
1,Savarianandham. V,BSP,0,Graduate,39,"Rs 10,10,000",Rs 0
1,Sivasankar. S.s,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 7 </span>",Graduate Professional,47,"Rs 6,19,69,350","Rs 21,18,802"
1,Thirumavalavan. K,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",Graduate,53,"Rs 7,62,90,641","Rs 86,92,969"
1,Veeramani. T,IND,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,26,"Rs 1,02,000",Rs 0
1,Vijayakumar. R,IND,0,12th Pass,39,"Rs 3,28,17,099","Rs 62,72,577"
2,Ramajeyalingam.j.k.n,AIADMK,0,Graduate,63,"Rs 1,79,37,217","Rs 10,61,121"
2,Alangarmery.t,IND,0,10th Pass,33,"Rs 5,000",Rs 0
2,Chinnadurai.s,BSP,0,12th Pass,42,"Rs 3,10,500",Rs 0
2,Guru Alias Gurunathan.j,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 18 </span>",Post Graduate,55,"Rs 5,11,91,251","Rs 48,22,490"
2,Irulapoo.selvakumar,IND,0,10th Pass,46,"Rs 8,10,000",Rs 0
2,Kandasamy.m.s,Marumalarchi Dravida Munnetra Kazhagam,0,8th Pass,57,"Rs 5,33,70,041","Rs 56,20,000"
2,Karunagaran.g,IND,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",10th Pass,54,"Rs 9,87,500","Rs 87,000"
2,Krishnamoorthy.r,Naam Tamilar Katchi,0,Illiterate,73,"Rs 20,43,000",Rs 0
2,Krishnamoorthy.s,BJP,0,10th Pass,55,"Rs 1,84,40,593","Rs 96,100"
2,Mahesh.c,IND,0,Graduate,35,"Rs 1,53,225",Rs 0
2,Rajendran.g,INC,0,12th Pass,60,"Rs 2,47,63,962","Rs 1,63,09,597"
2,Selvamani.p,IND,0,Graduate Professional,34,"Rs 2,50,000",Rs 0
2,Ulaganathan.n,NCP,0,Graduate Professional,61,"Rs 1,68,000",Rs 0
3,Selvi J Jayalalithaa,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",10th Pass,68,"Rs 1,13,73,38,586","Rs 2,04,02,987"
3,Abraham Rajamohan.r,Peoples Party of India(secular),0,Graduate,68,"Rs 1,09,100",Rs 0
3,Agnes F,Pattali Makkal Katchi,0,5th Pass,49,"Rs 8,44,000",Rs 0
3,Arunthathi Ramachandran,IND,0,Illiterate,41,"Rs 12,000",Rs 0
3,Arunthathi Vadivel Murugan,IND,0,Graduate Professional,33,"Rs 2,18,753","Rs 2,68,000"
3,Baskar P,IND,0,Graduate,34,"Rs 1,10,000",Rs 0
3,Baskaran N,IND,0,Graduate Professional,39,"Rs 2,95,000",Rs 0
3,Bhuvaneswari P,IND,0,12th Pass,28,"Rs 45,000",Rs 0
3,Chandrasekar K,IND,0,8th Pass,42,"Rs 1,99,000",Rs 0
3,Devi G,Naam Tamilar Katchi,0,12th Pass,38,"Rs 2,80,335",Rs 0
3,Duraivel V,IND,0,8th Pass,43,"Rs 40,000",Rs 0
3,Edinburough J,BSP,0,Graduate,37,"Rs 54,000",Rs 0
3,Gajendran P,IND,0,5th Pass,34,"Rs 31,000",Rs 0
3,Gopi M,IND,0,10th Pass,36,"Rs 2,34,115",Rs 0
3,Jagadishwarareddy K,IND,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",12th Pass,54,"Rs 31,000",Rs 0
3,Jayalakshmi K,IND,0,8th Pass,36,"Rs 1,31,000",Rs 0
3,Kaveriselvam M,IND,0,Graduate Professional,28,"Rs 15,000",Rs 0
3,Manaoharan S,IND,0,Post Graduate,34,"Rs 3,38,045",Rs 0
3,Marimuthu P,IND,0,5th Pass,60,"Rs 39,08,400","Rs 1,20,000"
3,Meenachi Sundaram V,IND,0,Graduate,34,"Rs 14,384",Rs 0
3,Megavanan I,IND,0,Graduate,30,"Rs 24,27,000","Rs 15,00,000"
3,Michael Raj M.a,IND,0,8th Pass,47,"Rs 1,32,75,837",Rs 0
3,Murugan M.r.,Jebamani Janata,0,5th Pass,36,Nil,Rs 0
3,Nambirajan N,IND,0,Graduate,30,"Rs 60,000",Rs 0
3,Ponraj P,IND,0,5th Pass,45,"Rs 5,02,000",Rs 0
3,Prakash,IND,0,Literate,37,"Rs 2,12,000",Rs 0
3,Pravina G,IND,0,Graduate Professional,43,"Rs 1,48,50,000",Rs 0
3,Premkumar P,IND,0,5th Pass,27,"Rs 20,000",Rs 0
3,Raj L,IND,0,Graduate,41,"Rs 7,03,000",Rs 0
3,Raja M.n,BJP,0,Post Graduate,58,"Rs 9,51,43,739","Rs 1,05,69,995"
3,Raju R.s,IND,0,8th Pass,45,"Rs 1,72,000",Rs 0
3,Ramesh R,IND,0,10th Pass,28,"Rs 2,15,000",Rs 0
3,Ravi Parayanar.d,RPI(A),0,10th Pass,39,"Rs 68,000",Rs 0
3,Sadaiyandi.e,SUCI(C),0,5th Pass,53,"Rs 29,500",Rs 0
3,Sekar,IND,0,Others,43,"Rs 2,80,000",Rs 0
3,Selvarani,IND,0,Graduate,38,"Rs 2,03,30,000","Rs 45,00,000"
3,Shanmuganandham M,Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,29,"Rs 15,800",Rs 0
3,Shimla Muthuchozhan,DMK,0,Graduate Professional,34,"Rs 1,60,16,889",Rs 0
3,Subash Babu M,Anbu Udhayam Katchi,0,Post Graduate,41,"Rs 33,78,129","Rs 2,85,000"
3,Sureshkumar S,Makkalatchi Katchi,0,Graduate,33,"Rs 2,18,753","Rs 2,68,000"
3,Thangavel,IND,0,Graduate,42,"Rs 34,62,000","Rs 17,30,000"
3,Vasanthi Devi V,Viduthalai Chiruthaigal Katchi,0,Doctorate,77,"Rs 2,58,31,650",Rs 0
3,Venugopal D,SHS,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",10th Pass,30,"Rs 54,000",Rs 0
3,Yuvaraj S,IND,0,Post Graduate,27,"Rs 12,000",Rs 0
4,Nataraj R,AIADMK,0,Doctorate,65,"Rs 9,25,38,499","Rs 73,36,106"
4,Anand N,IND,0,10th Pass,46,"Rs 7,75,500","Rs 1,65,000"
4,Arunraj Balan,IND,0,Graduate Professional,26,"Rs 1,92,000",Rs 0
4,Balaji V,BSP,0,12th Pass,36,"Rs 2,50,500",Rs 0
4,Balakrishnan,IND,0,Graduate,58,"Rs 6,60,600",Rs 0
4,Dhananjayan T.s,IND,0,8th Pass,45,"Rs 76,116",Rs 0
4,Govindarajulu.m.,Youth And Students Party,0,Post Graduate,76,"Rs 7,90,026",Rs 0
4,Jebamani E,Peoples Party of India(secular),0,Post Graduate,65,"Rs 1,22,000",Rs 0
4,Joshua Gerard,IND,0,Graduate Professional,27,"Rs 10,61,647",Rs 0
4,K.r.ramaswamzy,IND,0,Others,82,"Rs 42,700",Rs 0
4,Karate R.thiagarajan,INC,0,12th Pass,51,"Rs 31,23,01,962","Rs 30,18,085"
4,Kuppal G.devadoss,IND,0,10th Pass,61,"Rs 1,57,31,500","Rs 66,00,000"
4,Loganathan,IND,0,Graduate Professional,63,"Rs 4,20,21,000","Rs 32,96,000"
4,Mohanraj J,Jebamani Janata,0,Graduate,64,"Rs 1,83,30,000","Rs 3,00,000"
4,Munavar Basha A.s,Tamil Maanila Congress (Moopanar),0,Graduate,62,"Rs 20,50,500",Rs 0
4,Nagarajan K,BJP,0,12th Pass,56,"Rs 52,32,078","Rs 97,146"
4,Sathyaa Durrairajh,IND,0,Post Graduate,30,"Rs 89,608",Rs 0
4,Sathyanarayanan .s.,IND,0,Graduate Professional,44,"Rs 3,12,85,824","Rs 63,22,828"
4,Shanmuga Rajan,IND,0,10th Pass,65,"Rs 2,56,63,480","Rs 15,02,000"
4,Sheela S,IND,0,8th Pass,46,"Rs 1,60,400","Rs 4,50,000"
4,Sivakumar,IND,0,12th Pass,38,"Rs 4,50,500",Rs 0
4,Sudhakar.s.,Naam Tamilar Katchi,0,Graduate,36,"Rs 14,63,949","Rs 22,672"
4,Suresh Kumar N,Pattali Makkal Katchi,0,Graduate Professional,29,"Rs 11,97,866",Rs 0
4,V.vijayakrishna,SHS,0,Post Graduate,38,"Rs 1,22,031","Rs 4,48,950"
5,Sathyanarayanan.b,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate,52,"Rs 14,09,95,458","Rs 5,61,12,203"
5,A. Ramanan,SHS,0,10th Pass,66,"Rs 5,10,900",Rs 0
5,Dr.n.s.kanimozhi,DMK,0,Post Graduate,43,"Rs 6,73,49,281","Rs 3,25,40,745"
5,E. Dinakaran,IND,0,5th Pass,47,"Rs 2,95,000",Rs 0
5,H.raja,BJP,0,Graduate Professional,58,"Rs 1,16,20,928","Rs 4,87,131"
5,Harirajan.m,IND,0,Graduate Professional,29,"Rs 7,66,503","Rs 90,000"
5,K. Nagadass,BSP,0,5th Pass,49,"Rs 5,000",Rs 0
5,Kumar.v,DMDK,0,8th Pass,47,"Rs 2,76,49,886","Rs 1,53,92,339"
5,M. Karthik,IND,0,Graduate Professional,27,"Rs 5,77,534",Rs 0
5,M. Srinivasan,IND,0,Graduate Professional,36,"Rs 4,27,500",Rs 0
5,Mahesh.k,Youth And Students Part,0,Graduate,37,"Rs 2,48,12,674","Rs 9,97,092"
5,P. Tamilmani,IND,0,8th Pass,32,"Rs 2,000",Rs 0
5,R.j. Augustin,Gandhiya Makkal Iyakkam,0,Graduate,32,"Rs 8,24,000","Rs 1,60,000"
5,T. Pandiyarajan,IND,0,10th Pass,56,"Rs 46,40,272",Rs 0
5,Vinoth.v,Pattali Makkal Katchi,0,Graduate,34,"Rs 2,16,03,813","Rs 93,60,227"
6,Subramanian.ma,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",Graduate Professional,56,"Rs 66,82,576",Rs 0
